GROUPING|DATA|NAME|RANGE|DESC
SDIST_UPD|CH_H|"Channel HOVER"|"-100...+100"|"relative value for hovering. Used in Mixer"
SDIST_UPD|CH_R|"Channel ROLL"|"0"|"not used in SurfaceDistance"
SDIST_UPD|CH_P|"Channel PTICH"|"0"|"not used in SurfaceDistance"
SDIST_UPD|CH_Y|"Channel YAW"|"0"|"ot used in SurfaceDistance"
SDIST_UPD|CH_T|"Channel TRUST"|"0"|"not used in SurfaceDistance"
SDIST_UPD|AUX2|"AUX2"|"0"|"not used in SurfaceDistance"
SDIST_UPD|AUX3|"AUX3"|"0"|"not used in SurfaceDistance"
SDIST_UPD|float0|"PID ToF"|"-100..+100"|"output from PID controller from ToF-Sensor"
SDIST_UPD|float1|"Calc ToF"|""|"calculated (double) HOVER-Value from ToF-Sensor"
SDIST_UPD|float2|"ToF-SP"|"400..500"|"target distance over ground for ToF"
SDIST_UPD|float3|"Kalman ToF"|""|"calculated Kalman ToF-Sensor value"
SDIST_UPD|float4|"PID Lidar"|"-100..+100"|"output from PID controller from LIDAR-Sensor"
SDIST_UPD|float5|"Calc Lidar"|""|"calculated (double) HOVER-Value from LIDAR-Sensor"
SDIST_UPD|float6|"Lidar-SP"|""|"target distance over ground for LIDAR"
SDIST_UPD|float7|"Kalman Lidar"|""|"calculated Kalman LIDAR-Sensor value"
SDIST_UPD|long0|"ToF Raw"|"0..~ mm"|"raw ToF value. Measurement distance over ground"
SDIST_UPD|long1|"Calc ToF out"|"-100..+100"|"calculated ToF-HOVER value. Is used to calculate CH_H"
SDIST_UPD|long2|"unused"|""|"not used in SurfaceDistance"
SDIST_UPD|long3|"unused"|""|"not used in SurfaceDistance"
SDIST_UPD|long4|"Lidar Raw"|"0 or 30..~mm"|"raw LIDAR measurement (distance over ground)"
SDIST_UPD|long5|"Calc Lidar out"|"-100..+100"|"calculated LIDAR-HOVER value. Is used to calculate CH_H"
SDIST_UPD|long6|"unused"|"0"|"not used in SurfaceDistance"
SDIST_UPD|long7|"unused"|"0"|"not used in SurfaceDistance"
SDIST_UPD|pidRoll|"PID-Roll"|"0"|"not used in SurfaceDistance"
SDIST_UPD|pidPitch|"PID-Pitch"|"0"|"not used in SurfaceDistance"
SDIST_UPD|pidYaw|"PID-RoYawll"|"0"|"not used in SurfaceDistance"
SDIST_UPD|pidHover|"PID-Hover"|"0"|"not used in SurfaceDistance"
SDIST_UPD|pidThrust|"PID-Thrust"|"0"|"not used in SurfaceDistance"